uid,match
603,1
604,0
605,1
606,1
607,0
608,0
609,0
610,1
611,0
612,0
613,1
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,0
632,1
633,1
634,0
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,0
647,1
648,1
649,0
650,0
651,1
652,0
653,1
654,0
655,1
656,1
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,0
676,1
677,0
678,0
679,0
680,0
681,1
682,1
683,0
684,1
685,1
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,1
696,1
697,0
698,0
699,0
700,1
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,1
710,0
711,0
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,0
720,1
721,1
722,1
723,0
724,0
725,0
726,1
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,1
737,1
738,1
739,1
740,0
741,0
742,0
743,0
744,1
745,0
746,1
747,1
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,0
756,1
757,1
758,1
759,0
760,1
761,0
762,0
763,0
764,1
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,0
777,0
778,0
779,0
780,1
781,1
782,0
783,1
784,0
785,1
786,1
787,0
788,1
789,0
790,0
791,1
792,1
793,0
794,0
795,0
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,0
809,0
810,0
811,1
812,0
813,0
814,0
815,1
816,1
817,0
818,0
819,0
820,1
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,0
834,1
835,0
836,1
837,0
838,1
839,0
840,0
841,1
842,0
843,1
844,1
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,1
861,1
862,1
863,0
864,1
865,1
866,1
867,0
868,0
869,1
870,0
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,1
880,0
881,1
882,0
883,0
884,0
885,1
886,0
887,1
888,1
889,1
890,0
891,1
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,1
901,1
902,0
903,1
904,0
905,1
906,1
907,0
908,1
909,1
910,0
911,1
912,0
913,0
914,1
915,0
916,1
917,1
918,1
919,1
920,1
921,0
922,0
923,0
924,1
925,1
926,0
927,1
928,1
929,0
930,0
931,1
932,0
933,0
934,1
935,1
936,0
937,1
938,0
939,0
940,1
941,1
942,0
943,0
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,0
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,0
973,1
974,0
975,0
976,0
977,1
978,1
979,1
980,1
981,1
982,0
983,0
984,1
985,0
986,1
987,1
988,1
989,1
990,1
991,0
992,1
993,1
994,1
995,0
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,1
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,1
1036,0
1037,1
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
1061,0
1062,0
1063,1
1064,0
1065,0
1066,1
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,1
1079,0
1080,0
1081,0
1082,0
1083,0
1084,1
1085,0
1086,1
1087,0
1088,1
1089,1
1090,1
1091,0
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,0
1102,0
1103,1
1104,1
1105,1
1106,0
1107,0
1108,1
1109,0
1110,0
1111,0
1112,1
1113,1
1114,1
1115,1
1116,1
1117,0
1118,0
1119,1
1120,0
1121,0
1122,1
1123,1
1124,0
1125,0
1126,0
1127,0
1128,1
1129,0
1130,1
1131,0
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,1
1140,0
1141,0
1142,1
1143,0
1144,1
1145,0
1146,0
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,1
1154,1
1155,1
1156,1
1157,0
1158,0
1159,0
1160,0
1161,1
1162,0
1163,1
1164,0
1165,1
1166,1
1167,1
1168,0
1169,0
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,1
1185,0
1186,0
1187,1
1188,0
1189,1
1190,0
1191,1
1192,1
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,1
1200,0
1201,1
1202,0
1203,1
1204,0
1205,1
1206,0
1207,1
1208,0
1209,0
1210,1
1211,0
1212,1
1213,1
1214,1
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,0
1224,1
1225,0
1226,0
1227,1
1228,0
1229,1
1230,1
1231,1
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,1
1240,1
1241,1
1242,0
1243,1
1244,0
1245,0
1246,0
1247,1
1248,1
1249,0
1250,0
1251,1
1252,0
1253,1
1254,0
1255,1
1256,0
1257,1
1258,1
1259,0
1260,0
1261,0
1262,0
1263,1
1264,1
1265,1
1266,1
1267,0
1268,1
1269,1
1270,0
1271,1
1272,0
1273,1
1274,1
1275,1
1276,0
1277,1
1278,1
1279,0
1280,1
1281,0
1282,0
1283,1
1284,1
1285,0
1286,1
1287,1
1288,1
1289,0
1290,0
1291,0
1292,0
1293,1
1294,0
1295,1
1296,0
1297,0
1298,1
1299,0
1300,0
1301,0
1302,0
1303,0
1304,1
1305,1
1306,1
1307,0
1308,0
1309,1
1310,0
1311,1
1312,1
1313,1
1314,1
1315,0
1316,0
1317,1
1318,0
1319,0
1320,1
1321,1
1322,1
1323,0
1324,1
1325,0
1326,1
1327,1
1328,1
1329,0
1330,0
1331,1
1332,1
1333,1
1334,0
1335,1
1336,0
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,0
1344,1
1345,1
1346,0
1347,1
1348,1
1349,0
1350,0
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,0
1358,0
1359,0
1360,0
1361,1
1362,1
1363,1
1364,0
1365,1
1366,0
1367,0
1368,1
1369,1
1370,0
1371,0
1372,1
1373,1
1374,0
1375,1
1376,0
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,0
1384,0
1385,1
1386,1
1387,1
1388,1
1389,1
1390,0
1391,1
1392,0
1393,0
1394,0
1395,1
1396,0
1397,1
1398,0
1399,0
1400,0
1401,1
1402,0
1403,0
1404,1
1405,0
1406,1
1407,0
1408,0
1409,0
1410,1
1411,0
1412,1
1413,1
1414,0
1415,1
1416,0
1417,0
1418,0
1419,0
1420,1
1421,1
1422,1
1423,0
1424,0
1425,1
1426,0
1427,1
1428,0
1429,1
1430,1
1431,0
1432,0
1433,1
1434,0
1435,1
1436,1
1437,1
1438,0
1439,0
1440,1
1441,0
1442,1
1443,0
1444,0
1445,1
1446,0
1447,1
1448,0
1449,1
1450,1
1451,0
1452,0
1453,0
1454,0
1455,0
1456,1
1457,1
1458,1
1459,0
1460,0
1461,0
1462,0
1463,1
1464,1
1465,0
1466,1
1467,0
1468,1
1469,1
1470,0
1471,0
1472,0
1473,0
1474,1
1475,0
1476,1
1477,1
1478,0
1479,0
1480,1
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,1
1490,1
1491,1
1492,1
1493,0
1494,1
1495,0
1496,1
1497,0
1498,1
1499,0
1500,1
1501,0
1502,1
1503,0
1504,1
1505,0
1506,1
1507,0
1508,0
1509,1
1510,1
1511,1
1512,0
1513,1
1514,0
1515,0
1516,0
1517,1
1518,1
1519,0
1520,0
1521,1
1522,1
1523,0
1524,0
1525,1
1526,1
1527,0
1528,0
1529,0
1530,1
1531,0
1532,1
1533,0
1534,0
1535,0
1536,1
1537,1
1538,0
1539,0
1540,1
1541,0
1542,0
1543,1
1544,1
1545,1
1546,0
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,0
1558,1
1559,1
1560,1
1561,0
1562,1
1563,1
1564,1
1565,1
1566,1
1567,0
1568,0
1569,0
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,0
1579,0
1580,0
1581,1
1582,1
1583,0
1584,0
1585,0
1586,1
1587,1
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,1
1595,0
1596,0
1597,1
1598,1
1599,0
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,1
1607,0
1608,0
1609,1
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,1
1617,1
1618,0
1619,0
1620,0
1621,1
1622,1
1623,1
1624,1
1625,0
1626,1
1627,0
1628,0
1629,0
1630,1
1631,0
1632,1
1633,0
1634,1
1635,0
1636,0
1637,0
1638,1
1639,0
1640,0
1641,0
1642,0
1643,1
1644,1
1645,1
1646,0
1647,1
1648,0
1649,1
1650,0
1651,1
1652,1
1653,1
1654,0
1655,0
1656,0
1657,0
1658,0
1659,1
1660,1
1661,1
1662,0
1663,0
1664,1
1665,0
1666,0
1667,1
1668,0
1669,1
1670,1
1671,1
1672,0
1673,1
1674,0
1675,1
1676,0
1677,1
1678,1
1679,1
1680,0
1681,0
1682,0
1683,1
1684,1
1685,1
1686,0
1687,1
1688,0
1689,0
1690,1
1691,0
1692,0
1693,0
1694,0
1695,0
1696,1
1697,1
1698,1
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,1
1707,1
1708,0
1709,1
1710,0
1711,1
1712,1
1713,1
1714,1
1715,1
1716,0
1717,0
1718,1
1719,1
1720,0
1721,0
1722,1
1723,1
1724,0
1725,1
1726,0
1727,1
1728,0
1729,1
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,0
1742,1
1743,1
1744,0
1745,0
1746,0
1747,0
1748,0
1749,1
1750,0
1751,1
1752,1
1753,1
1754,1
1755,0
1756,0
1757,0
1758,1
1759,0
1760,1
1761,0
1762,1
1763,1
1764,0
1765,1
1766,1
1767,1
1768,1
1769,0
1770,0
1771,1
1772,1
1773,0
1774,1
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,1
1783,1
1784,1
1785,1
1786,1
1787,0
1788,0
1789,1
1790,1
1791,0
1792,0
1793,1
1794,1
1795,0
1796,1
1797,0
1798,0
1799,1
1800,0
1801,0
1802,1
1803,0
1804,1
1805,0
1806,0
1807,0
1808,0
1809,1
1810,0
1811,0
1812,1
1813,0
1814,0
1815,0
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,0
1823,1
1824,0
1825,1
1826,1
1827,1
1828,0
1829,0
1830,0
1831,1
1832,1
1833,0
1834,0
1835,1
1836,1
1837,0
1838,1
1839,1
1840,1
1841,0
1842,0
1843,0
1844,0
1845,1
1846,0
1847,1
1848,0
1849,1
1850,1
1851,1
1852,1
1853,0
1854,1
1855,1
1856,1
1857,1
1858,1
1859,0
1860,1
1861,1
1862,0
1863,1
1864,1
1865,0
1866,0
1867,0
1868,1
1869,1
1870,1
1871,0
1872,0
1873,1
1874,0
1875,1
1876,1
1877,1
1878,0
1879,0
1880,1
1881,1
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,1
1891,0
1892,0
1893,1
1894,0
1895,0
1896,1
1897,1
1898,0
1899,0
1900,0
1901,0
1902,1
1903,1
1904,0
1905,1
1906,1
1907,1
1908,0
1909,1
1910,0
1911,0
1912,0
1913,1
1914,0
1915,0
1916,1
1917,1
1918,0
1919,0
1920,1
1921,1
1922,0
1923,1
1924,1
1925,1
1926,0
1927,0
1928,0
1929,0
1930,0
1931,1
1932,0
1933,0
1934,0
1935,1
1936,0
1937,0
1938,1
1939,1
1940,1
1941,1
1942,0
1943,1
1944,0
1945,1
1946,0
1947,1
1948,0
1949,1
1950,1
1951,1
1952,0
1953,0
1954,0
1955,0
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,0
1963,0
1964,0
1965,1
1966,0
1967,1
1968,0
1969,0
1970,1
1971,0
1972,0
1973,0
1974,1
1975,1
1976,0
1977,1
1978,1
1979,1
1980,1
1981,0
1982,0
1983,1
1984,0
1985,1
1986,1
1987,1
1988,0
1989,1
1990,0
1991,0
1992,1
1993,1
1994,0
1995,1
1996,0
1997,1
1998,1
1999,0
2000,1
2001,0
2002,1
2003,0
2004,1
2005,0
2006,0
2007,1
2008,1
2009,0
2010,1
2011,0
2012,0
2013,0
2014,1
2015,0
2016,1
2017,0
2018,1
2019,1
2020,0
2021,0
2022,1
2023,0
2024,1
2025,1
2026,1
2027,1
2028,0
2029,1
2030,0
2031,0
2032,0
2033,1
2034,1
2035,1
2036,1
2037,0
2038,1
2039,0
2040,1
2041,1
2042,0
2043,0
2044,1
2045,1
2046,1
2047,0
2048,1
2049,0
2050,0
2051,0
2052,1
2053,1
2054,0
2055,1
2056,0
2057,1
2058,0
2059,1
2060,0
2061,1
2062,1
2063,0
2064,0
2065,0
2066,1
2067,0
2068,0
2069,0
2070,1
2071,0
2072,0
2073,1
2074,0
2075,1
2076,1
2077,1
2078,1
2079,0
2080,0
2081,1
2082,1
2083,0
2084,1
2085,1
2086,1
2087,1
2088,0
2089,1
2090,0
2091,1
2092,0
2093,1
2094,1
2095,1
2096,1
2097,0
2098,0
2099,1
2100,1
2101,0
2102,0
2103,0
2104,1
2105,1
2106,0
2107,1
2108,0
2109,1
2110,0
2111,1
2112,1
2113,0
2114,0
2115,1
2116,1
2117,1
2118,1
2119,0
2120,0
2121,1
2122,0
2123,0
2124,0
2125,1
2126,0
2127,0
2128,0
2129,1
2130,1
2131,0
2132,0
2133,0
2134,1
2135,0
2136,1
2137,0
2138,0
2139,1
2140,0
2141,0
2142,1
2143,0
2144,0
2145,0
2146,0
2147,0
2148,1
2149,1
2150,1
2151,1
2152,0
2153,0
2154,1
2155,1
2156,1
2157,0
2158,1
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,1
2166,0
2167,1
2168,1
2169,1
2170,0
2171,1
2172,0
2173,1
2174,1
2175,0
2176,1
2177,1
2178,0
2179,1
2180,1
2181,1
2182,0
2183,0
2184,0
2185,1
2186,1
2187,1
2188,1
2189,0
2190,0
2191,1
2192,0
2193,0
2194,1
2195,1
2196,0
2197,1
2198,1
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,1
2206,0
2207,1
2208,1
2209,0
2210,0
2211,0
2212,1
2213,1
2214,1
2215,0
2216,0
2217,1
2218,1
2219,1
2220,0
2221,1
2222,1
2223,0
2224,1
2225,0
2226,1
2227,1
2228,0
2229,0
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,0
2239,0
2240,1
2241,0
2242,1
2243,0
2244,0
2245,0
2246,1
2247,0
2248,1
2249,0
2250,1
2251,0
2252,0
2253,0
2254,0
2255,1
2256,1
2257,0
2258,1
2259,1
2260,1
2261,0
2262,1
2263,0
2264,1
2265,0
2266,1
2267,0
2268,1
2269,0
2270,0
2271,1
2272,0
2273,0
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,0
2283,0
2284,0
2285,1
2286,0
2287,0
2288,0
2289,0
2290,1
2291,0
2292,0
2293,0
2294,0
2295,1
2296,0
2297,0
2298,0
2299,0
2300,1
2301,0
2302,0
